No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
492,KOTA SAMARINDA,2023-06-26,03:00:00,0,0,1,3," Rp2,000,000 ",Ringan,"JL SLAMET RIYADI, RT -, RW -, TITIK KOORDINAT -0.517675047697161, 117.11653351092731",-0.517675383,117.1165355,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
493,KOTA SAMARINDA,2023-06-30,08:30:00,1,0,0,12," Rp20,000,000 ",Berat,"JL KH. MAS MANSYUR, RT -, RW -, TITIK KOORDINAT -0.5329012301300393, 117.10334982225028",-0.532885138,117.1028007,Jalan Kota / Kabupaten,Kolektor,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Terang / Jelas
494,KOTA SAMARINDA,2023-06-30,05:30:00,0,0,1,3," Rp300,000 ",Ringan,"JL LETJEND SUPRAPTO, RT -, RW -, TITIK KOORDINAT -",-0.47262436,117.1401623,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Cerah,Redup / Samar (Tidak jelas terlihat)
495,KOTA SAMARINDA,2023-06-29,16:00:00,0,0,1,3," Rp200,000 ",Ringan,"JL KH. HARUN NAFSI, RT -, RW -, TITIK KOORDINAT -0.5202400062774359, 117.13952847693652",-0.520224919,117.1395228,Jalan Kota / Kabupaten,Kolektor,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),T (Simpang Tiga),Cerah,Terang / Jelas
496,KOTA SAMARINDA,2023-06-29,22:00:00,0,0,2,6," Rp2,000,000 ",Ringan,"JL BHAYANGKARA, RT -, RW -, TITIK KOORDINAT -0.4895393107570535, 117.14616154075382",-0.48954434,117.1461558,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Multi Simpang (Lebih dari 4),Cerah,Redup / Samar (Tidak jelas terlihat)
497,KOTA SAMARINDA,2023-06-29,18:30:00,0,0,1,3," Rp2,000,000 ",Ringan,"JL MOEIS HASAN, RT -, RW -, TITIK KOORDINAT -0.5577838095169305, 117.09117625907182",-0.557783253,117.0911799,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Redup / Samar (Tidak jelas terlihat)
498,KOTA SAMARINDA,2023-07-02,08:30:00,0,0,3,9," Rp250,000 ",Ringan,"JL D.I. PANJAITAN, RT -, RW -, TITIK KOORDINAT -0.4542540940484284, 117.19091205280607",-0.454248395,117.1908504,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
499,KOTA SAMARINDA,2023-04-07,09:45:00,0,0,1,3," Rp200,000 ",Ringan,"JL MAYJEND. S. PARMAN, RT -, RW -, TITIK KOORDINAT -0.47547943419747496, 117.14636991656806",-0.475486139,117.1463719,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
500,KOTA SAMARINDA,2023-07-02,21:30:00,0,0,1,3," Rp1,000,000 ",Ringan,"JL P. SURYANATA, RT -, RW -, TITIK KOORDINAT -0.43869931212656443, 117.09891494909394",-0.438653045,117.0990212,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
501,KOTA SAMARINDA,2023-06-30,20:00:00,1,0,0,12," Rp10,000,000 ",Berat,"JL POROS SAMARINDA - BONTANG, RT -, RW -, TITIK KOORDINAT -0.39589708169451704, 117.247422849848",-0.395927591,117.2474433,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
