No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Tipe Kecelakaan,Penyebab,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
29,KOTA BALIKPAPAN,2021-04-15,06:00:00,0,1,1,6," Rp500,000 ",Sedang,Tabrakan depan - depan,Manusia,"Jl. Syarifuddin Yoes depan indomaret Ratu Kencana Kel.Gn Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115, Indonesia",-1.236175457,116.8887719,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
30,KOTA BALIKPAPAN,2021-04-14,11:00:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan saat menyalip dari kiri,Manusia,"Jl MT Haryono dekat toko Gaza Plastik Kel.Batu Ampar Kec.Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136, Indonesia",-1.217414646,116.8604419,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Terang / Jelas,Cerah
31,KOTA BALIKPAPAN,2021-04-17,03:15:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl. Soekarno Hatta KM.05 Kel.Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136, Indonesia",-1.212868,116.8591058,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Berawan/ Mendung
32,KOTA BALIKPAPAN,2021-04-18,16:30:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan saat menyalip dari kiri,Manusia,"Jl. Soekarno Hatta km.22 depan warung Ipul Kel.Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.1013174,116.8923224,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Berawan/ Mendung
33,KOTA BALIKPAPAN,2021-04-28,13:00:00,1,1,0,15," Rp5,000,000 ",Berat,Tabrakan depan - belakang,Manusia,Jl Soekarno Hatta KM.18 depan Balai penyuluhan Pertanian Karang Joang Bpp,-1.121019786,116.8841824,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
34,KOTA BALIKPAPAN,2021-05-29,07:00:00,1,0,0,12," Rp500,000 ",Berat,"Di ruas, kendaraan lurus dengan pejalan kaki dari kanan di Zebra Cross",Manusia,"Jl Mulawarman dekat Gg SDN 05 simpang PJHI Batakan, Manggar, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur, Indonesia",-1.243556757,116.942239,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
35,KOTA BALIKPAPAN,2021-06-05,17:30:00,1,0,0,12," Rp400,000 ",Berat,Tabrakan saat menyalip dari kanan,Manusia,"JL. Soekarno Hatta Km 4,5 dekat Bank BNI Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136, Indonesia",-1.2131042,116.8589563,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
36,KOTA BALIKPAPAN,2021-06-06,05:00:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan dengan Kendaraan menyebrang dari sisi kiri jalan,Manusia,"Jalan Jendral Sudirman depan Ruko Bandar, Klandasan Ulu, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur, Indonesia",-1.2771459,116.835891,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
37,KOTA BALIKPAPAN,2021-06-06,03:00:00,2,0,1,27," Rp1,000,000 ",Berat,Tabrakan depan - depan,Manusia,"Jl Mulawarman dekat Mapolsek Lamaru, Kec. Balikpapan Timur, Kota Balikpapan, Kalimantan Timur 76117, Indonesia",-1.2009324,116.9825043,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
38,KOTA BALIKPAPAN,2021-06-15,08:30:00,1,0,0,12," Rp500,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl Letjen Suprapto depan musholla at taslim pasar Inpres Kebun Sayur Kec. Balikpapan Barat, Kota Balikpapan, Kalimantan Timur 76123, Indonesia",-1.234702554,116.8235505,Jalan Kota / Kabupaten,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Hujan/ Grimis
39,KOTA BALIKPAPAN,2021-06-30,10:00:00,1,0,0,12," Rp1,000,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl  Marsma R Iswahyudi No.121 depan Disporpar, Kota Balikpapan",-1.27005937,116.8755598,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Berawan/ Mendung
40,KOTA BALIKPAPAN,2021-07-10,23:45:00,0,1,1,6," Rp3,000,000 ",Sedang,Tabrakan kendaraan belok kanan dengan kendaraan dari arah kiri,Manusia,"Jl. Jenderal Sudirman dekat JNE Stal kuda Kel.Damai Bahagia, Kec.Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114, Indonesia",-1.2738512,116.8616705,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
